,sensor1,sensor2
236,51.0,48.0
237,51.0,48.0
238,51.0,48.0
239,51.0,48.0
240,51.0,48.0
241,51.0,48.0
242,51.0,48.0
243,51.0,48.0
244,51.0,48.0
245,51.0,48.0
246,51.0,48.0
247,51.0,48.0
248,51.0,48.0
249,51.0,48.0
250,51.0,48.0
251,51.0,48.0
252,51.0,48.0
253,51.0,48.0
254,51.0,48.0
255,51.0,48.0
256,51.0,48.0
257,51.0,48.0
258,51.0,48.0
259,51.0,48.0
260,51.0,48.0
261,51.0,48.0
262,51.0,48.0
263,51.0,48.0
264,51.0,48.0
265,51.0,48.0
266,51.0,48.0
267,51.0,48.0
268,51.0,48.0
269,51.0,48.0
270,51.0,48.0
271,51.0,48.0
272,51.0,48.0
273,51.0,48.0
274,51.0,48.0
275,51.0,48.0
276,51.0,48.0
277,51.0,48.0
278,51.0,48.0
279,51.0,48.0
280,51.0,48.0
281,51.0,48.0
282,51.0,48.0
283,51.0,48.0
284,51.0,48.0
285,51.0,48.0
286,51.0,48.0
287,51.0,48.0
288,51.0,48.0
289,51.0,48.0
290,51.0,48.0
291,51.0,48.0
292,51.0,48.0
293,51.0,48.0
294,51.0,48.0
295,51.0,48.0
296,51.0,48.0
297,51.0,48.0
298,51.0,48.0
299,51.0,48.0
300,51.0,48.0
301,51.0,48.0
302,51.0,48.0
303,51.0,48.0
304,51.0,48.0
305,51.0,48.0
306,51.0,48.0
307,51.0,48.0
308,51.0,48.0
309,51.0,48.0
310,51.0,48.0
311,51.0,48.0
312,51.0,48.0
313,51.0,48.0
314,51.0,48.0
315,51.0,48.0
316,51.0,48.0
317,51.0,48.0
318,51.0,48.0
319,51.0,48.0
320,51.0,48.0
321,51.0,48.0
322,51.0,48.0
323,51.0,48.0
324,51.0,48.0
325,51.0,48.0
326,51.0,48.0
327,51.0,48.0
328,51.0,48.0
329,51.0,48.0
330,51.0,48.0
331,51.0,48.0
332,51.0,48.0
333,51.0,48.0
334,51.0,48.0
335,51.0,48.0
336,51.0,48.0
337,51.0,48.0
338,51.0,48.0
339,51.0,48.0
340,51.0,48.0
341,51.0,48.0
342,51.0,48.0
343,51.0,48.0
344,51.0,48.0
345,51.0,48.0
346,51.0,48.0
347,51.0,48.0
348,51.0,48.0
349,51.0,48.0
350,51.0,48.0
351,51.0,48.0
352,51.0,48.0
353,51.0,48.0
354,51.0,48.0
355,51.0,48.0
356,51.0,48.0
357,51.0,48.0
358,51.0,48.0
359,51.0,48.0
360,51.0,48.0
361,51.0,48.0
362,51.0,48.0
363,51.0,48.0
364,51.0,48.0
365,51.0,48.0
366,51.0,47.86716280966459
367,51.0,47.66734631460904
368,51.0,47.46752981955346
369,51.0,47.26771332449791
370,51.0,47.06789682944235
371,51.0,47.13191966561321
372,51.0,47.33173616066878
373,51.0,47.53155265572434
374,51.0,47.7313691507799
375,51.0,47.931185645835455
376,51.0,48.0
377,51.0,48.0
378,51.0,48.0
379,51.0,48.0
380,51.0,48.0
381,51.0,48.0
382,51.0,48.0
383,51.0,48.0
384,51.0,48.0
385,51.0,48.0
386,51.0,47.87083290855337
387,51.0,47.6710164134978
388,51.0,47.47119991844224
389,51.0,47.27138342338668
390,51.0,47.07156692833112
391,51.0,47.12824956672445
392,51.0,47.32806606178001
393,51.0,47.52788255683557
394,51.0,47.72769905189112
395,51.0,47.92751554694669
396,51.0,48.0
397,51.0,48.0
398,51.0,48.0
399,51.0,48.0
400,51.0,48.0
401,51.0,48.0
402,51.0,48.0
403,51.0,48.0
404,51.0,48.0
405,51.0,48.0
406,51.0,47.874503007442144
407,51.0,47.67468651238657
408,51.0,47.47487001733101
409,51.0,47.275053522275456
410,51.0,47.0752370272199
411,51.0,47.12457946783567
412,51.0,47.32439596289123
413,51.0,47.52421245794679
414,51.0,47.724028953002346
415,51.0,47.92384544805792
416,51.0,48.0
417,51.0,48.0
418,51.0,48.0
419,51.0,48.0
420,51.0,48.0
421,51.0,48.0
422,51.0,48.0
423,51.0,48.0
424,51.0,48.0
425,51.0,48.0
426,51.0,48.0
427,51.0,48.0
428,51.0,48.0
